rank,track ID,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,position_restore
32,1SV1fxF65n9NhRHp3KlBuu,Paul McCartney,Wonderful Christmastime - Edited Version / Remastered 2011,Paul McCartney Catalog,15,34,25,15262622,9830
30,4n6NDfYake476trCjJRNl0,"J. Cole, Bas",1 0 0 . m i l ‘ (with Bas),"Dreamville, Inc., Under exclusive license to Roc Nation Records",30,-1,1,15171655,3830
19,1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,Victor Victor Worldwide,6,15,19,15079428,219
23,5YYW3yRktprLRr47WK219Y,"Rochy RD, Myke Towers, Nicki Nicole",Ella No Es Tuya - Remix,Sony Music Latin,23,23,5,15037831,2023
20,45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,RCA Records Label,13,22,27,14952714,220
27,01K4zKU104LyJ8gMb7227B,"Taylor Swift, Phoebe Bridgers",Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault),Taylor Swift,27,-1,1,14951508,8625
30,496vIKS2INz840xZaKncvR,Adele,All Night Parking (with Erroll Garner) Interlude,Columbia,30,-1,1,14881944,8828
21,1HbA4N1MiOsPthALesGFR1,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),Shawn Mendes LP4-5 PS/ Island,7,16,8,14815834,221
33,2c6xRsQBv7pynuhYhWoHxo,Adele,Woman Like Me,Columbia,33,-1,1,14631993,8831
29,1Ov37jtRQ2YNAe8HzfczkL,Taylor Swift,Wildest Dreams (Taylor's Version),Taylor Swift,29,-1,1,14592123,7027
30,3yII7UwgLF6K5zW3xad3MP,Taylor Swift,22 (Taylor's Version),Taylor Swift,30,-1,1,14570031,8628
31,6lzc0Al0zfZOIFsFvBS1ki,Taylor Swift,State Of Grace (Taylor's Version),Taylor Swift,31,-1,1,14564495,8629
32,6dmXZ9B5HdFAyzHeTneYBK,"ROSALÍA, The Weeknd",LA FAMA,Columbia,32,-1,1,14552083,8630
