track_ID,artist_names,track_name,source,streams
02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,28387947
35ovElsgyAtQwYPYnZJECg,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Black Panther 2 Rihanna Recordings,28236667
4D7BCuvgdJlYvlX5WlN54t,Taylor Swift,You're On Your Own Kid,Taylor Swift,27735011
7rglLriMNBPAyuJOMGwi39,Elton John Dua Lipa PNAU,Cold Heart - PNAU Remix,EMI,27672367
5ildQOEKmJuWGl2vRkFdYc,ROSALÍA,DESPECHÁ,Columbia,27548965
7KokYm8cMIXCsGVmUvKtqf,Taylor Swift,Karma,Taylor Swift,27374527
46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,27307694
7GeTsDIc5ykNB6lORO6Cee,Drake 21 Savage,Circo Loco,OVO / Republic Records,27146389
5kVZxyMY1gfdCLiChsfjn1,Bad Bunny,Yo No Soy Celoso,Rimas Entertainment LLC,26785831
35TyJIMR3xRouUuo2sjS6v,Harry Styles,Cinema,Columbia,26540862
