pos,year,track_ID,artist_names,track_name,genres,danceability,energy,speechiness,acousticness,liveness,valence,tempo
704,2019,4bTZeO72FwMa6wKOiqoynL,Sech,Otro Trago - Remix,[hip hop],0.73,0.79,0.20,0.07,0.06,0.76,175.99
705,2019,2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,[Dance/Electronic],0.88,0.75,0.09,0.18,0.11,0.88,117.95
706,2019,0Ryd8975WihbObpp5cPW1t,Ariana Grande,boyfriend (with Social House),[pop],0.40,0.80,0.46,0.12,0.16,0.70,190.10
707,2019,6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Dont Start Now,[pop],0.79,0.79,0.08,0.01,0.10,0.68,123.94
708,2019,6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,RITMO (Bad Boys For Life),[pop],0.72,0.72,0.07,0.03,0.24,0.67,104.99
709,2019,059bcIhyc2SBwm6sw2AZzd,Piso 21,Te Vi,[latin],0.88,0.78,0.12,0.04,0.09,0.71,102.02
710,2019,0RiRZpuVRbi7oqRdSMwhQY,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,[hip hop],0.76,0.52,0.06,0.53,0.07,0.93,89.96
711,2019,3jbT1Y5MoPwEIpZndDDwVq,Tainy,Adicto (with Anuel AA & Ozuna),[latin],0.73,0.84,0.07,0.02,0.18,0.62,80.00
712,2019,2t8yVaLvJ0RenpXUIAC52d,21 Savage,a lot,[hip hop],0.84,0.64,0.09,0.04,0.34,0.27,145.97
713,2019,5kfNriitmkNE8mUbZ7gbq8,Khalid,Saturday Nights,[pop],0.55,0.44,0.10,0.61,0.11,0.34,167.92
714,2019,5N5k9nd479b1xpDZ4usjrg,Calvin Harris,Promises (with Sam Smith),[Dance/Electronic],0.78,0.77,0.04,0.01,0.33,0.49,123.07
715,2019,696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,[pop],0.62,0.60,0.15,0.05,0.46,0.46,116.74
716,2019,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,Rescue Me,[rock],0.76,0.61,0.04,0.16,0.69,0.64,121.05
717,2019,7BlBVFwvbWvcwNcUarQmjk,ROSALIA,Yo x Ti  Tu x Mi,[R&B],0.78,0.76,0.23,0.46,0.14,0.58,91.95
718,2019,1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Havana (feat. Young Thug),[pop],0.77,0.52,0.03,0.18,0.13,0.39,104.99
719,2019,1LiN0Z98FkR1t0m8KmLcAH,Anuel AA,Amanece,[latin],0.79,0.63,0.04,0.44,0.16,0.89,94.04
720,2019,7g8YaUQABMal0zWe7a2ijz,Dalex,Pa MI- Remix,[latin],0.69,0.62,0.22,0.75,0.16,0.73,170.02
721,2019,1nocRtwyNPVtGcIJqfgdzZ,Camilo,Tutu,[latin],0.73,0.83,0.05,0.27,0.07,0.94,146.01
722,2019,7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,Body (feat. brando),[pop],0.75,0.76,0.04,0.05,0.05,0.58,121.96
723,2019,3swc6WTsr7rl9DqQKQA55C,Post Malone,Psycho (feat. Ty Dolla $ign),[hip hop],0.75,0.56,0.11,0.55,0.11,0.46,140.06
724,2019,6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,Photograph,[pop],0.61,0.38,0.05,0.61,0.10,0.20,107.99
